GSISID,Number,Position
19714,9,P
20578,3,K
20712,92,OLB
21140,56,DE
21140,90,DE
21146,93,DE
21451,46s,LS
21451,46,LS
22017,5,P
22045,23,CB
22247,29,FS
22455,48,LS
22684,8,P
22824,8,P
22824,2,P
22839,51,OLB
22923,23,FS
22927,56,ILB
22999,29,FB
23003,60,LS
23013,39,CB
23173,92,LS
23177,59,LS
23259,57,OLB
23298,91,LS
23368,91,DE
23441,24,CB
23449,56,ILB
23534,2,P
23564,43,RB
23740,45,LS
23742,9,P
23750,94,DE
23853,5,K
24030,92,DT
24061,22,CB
24183,24,CB
24217,22,RB
24220,54,OLB
24227,92,DT
24232,52,OLB
24237,91,OLB
24258,41,SS
24272,17,WR
24272,14,WR
24278,55,DE
24278,56,DE
24306,92,DE
24323,73,G
24330,41,FS
24338,94,NT
24341,58,DE
24348,95,DT
24349,50,DE
24417,4,P
24421,41,FS
24429,39d,CB
24429,21,CB
24495,55,OLB
24535,14,WR
25396,19,WR
25401,24,CB
25402,94,OLB
25405,20,CB
25405,25,CB
25406,22,FS
25406,33,FS
25420,97,DT
25421,51,MLB
25434,52,OLB
25470,95,DE
25472,92,NT
25489,96,DE
25495,90,DT
25503,51,LS
25506,73,G
25513,38,FS
25549,87,TE
25555,20,FS
25555,36,FS
25555,24,FS
25630,46,LS
25660,61,LS
25697,57,OLB
25753,27,SS
25825,6,P
25828,59,ILB
25920,50,ILB
25942,92,DE
25945,58,ILB
25999,56,MLB
26019,39,RB
26027,44,LS
26035,80,WR
26069,35,FB
26105,95,DE
26142,95,DE
26142,56,DE
26144,20,RB
26145,90,NT
26151,21,CB
26156,41,CB
26160,21,CB
26175,24,CB
26176,87,WR
26180,21,CB
26182,19,WR
26186,14,WR
26190,93,DE
26194,98,DE
26232,56,DE
26233,41,OLB
26240,27,SS
26243,95,DE
26253,20,FS
26267,83,TE
26280,39,CB
26280,24,CB
26281,82,TE
26283,32,CB
26289,22,RB
26289,34,RB
26293,18,WR
26294,43,OLB
26298,47,TE
26307,93,OLB
26330,77,DT
26393,45,FB
26493,46,LS
26502,99,DT
26512,90,DT
26516,4,P
26564,99,NT
26578,33,FS
26618,72,DE
26664,8,P
26672,50,OLB
26672,53,OLB
26679,6,P
26714,57,LS
26714,57S,LS
26714,57o,LS
26725,55,OLB
26725,57d,OLB
26739,11,WR
26764,14,WR
26832,52,OLB
26844,65,LS
26852,45o,FB
26852,36,FB
26855,30,RB
26857,57,OLB
26857,59,OLB
26858,9,K
26910,20,CB
26932,30,RB
26935,23,CB
26935,33,CB
26944,41,CB
26944,24,CB
26945,39,CB
26957,46o,TE
26957,82,TE
26964,98,DT
26983,88,WR
26989,98,OLB
26990,27,SS
26994,91,DE
27002,52,OLB
27008,90,DE
27010,23,SS
27011,53,MLB
27014,58,MLB
27018,31,FS
27022,98,OLB
27023,23,FS
27033,99,DE
27044,90,DE
27057,15,WR
27057,19,WR
27060,21,FS
27064,26,CB
27067,49D,FS
27067,25,FS
27069,85,TE
27069,80,TE
27072,30d,SS
27081,27,FS
27083,30,SS
27103,10,P
27114,6,P
27115,29,FS
27124,26,FS
27125,86,TE
27135,82,TE
27136,35,CB
27136,30,CB
27139,86,TE
27145,1,P
27150,11,WR
27155,23,RB
27187,45,LS
27187,43o,LS
27187,43,LS
27195,25,SS
27195,31,SS
27197,47,LS
27197,49,LS
27215,82,TE
27218,43,RB
27218,44,RB
27224,46,LS
27232,38,FS
27232,35d,FS
27235,35,SS
27245,57,OLB
27247,47,LS
27256,26,SS
27321,87,TE
27356,15,WR
27375,26,CB
27375,24,CB
27378,42,SS
27416,42,SS
27440,37,CB
27442,51,OLB
27495,90,DE
27495,96,DE
27539,41,SS
27547,35,CB
27557,46,LS
27560,50,OLB
27573,98,DE
27595,81,WR
27608,18,WR
27647,32,FS
27651,33,RB
27651,22,RB
27652,20,FS
27652,29,FS
27653,43,FS
27654,17,WR
27657,99,OLB
27657,58,OLB
27662,96,DE
27663,50,ILB
27668,51,ILB
27675,84,TE
27676,42,SS
27680,31,SS
27682,56,ILB
27684,90,DT
27685,10,WR
27686,98,DT
27691,19,WR
27691,12,WR
27701,97,DE
27704,54,ILB
27704,56,ILB
27705,42,CB
27705,21,CB
27710,25,FS
27718,80,TE
27720,97,DT
27723,96,NT
27725,81,TE
27725,84,TE
27730,54,LB
27732,84,TE
27733,31,SS
27736,23,FS
27737,20,CB
27737,24,CB
27743,27,CB
27744,22,CB
27744,24,CB
27745,92,NT
27753,49,TE
27753,49o,TE
27756,97,DT
27763,41,CB
27763,29,CB
27777,55,OLB
27787,97,DE
27791,44,RB
27793,84,WR
27796,14,QB
27808,97,OLB
27812,57,OLB
27812,97,OLB
27816,80,WR
27816,87,WR
27822,69,DE
27825,82,TE
27825,49,TE
27825,81,TE
27831,44d,ILB
27835,20,SS
27840,36,CB
27840,35,CB
27840,27,CB
27840,36d,CB
27842,27,FS
27853,21,CB
27855,93,NT
27856,93,DT
27859,73,T
27860,21,CB
27860,23,CB
27861,26,RB
27861,26o,RB
27862,93,DE
27865,55,DE
27868,91,OLB
27871,56,OLB
27872,25,CB
27875,75,T
27877,90,DT
27881,55,DE
27882,25,CB
27882,21,CB
27885,98,NT
27891,15,WR
27894,53,MLB
27905,46,FB
27914,34,SS
27918,16,WR
27925,46,FB
27940,58,OLB
27941,99,NT
27943,21,CB
27949,99,DE
27951,90,DT
27952,94,DE
27957,21,CB
27957,20,CB
27958,99,DE
27962,94,DE
27968,96,DE
27975,93,DE
27977,56,OLB
27977,48,OLB
27978,54,ILB
27980,50,DE
27985,84,TE
27988,21,FS
27988,40,FS
27991,99,DT
27996,82,WR
27997,15,WR
27998,29,CB
28000,30,RB
28002,18,WR
28003,97,DT
28005,56,ILB
28006,91,MLB
28006,49,MLB
28007,88,TE
28008,50,OLB
28011,39,RB
28011,4,RB
28011,38,RB
28015,99,DT
28017,80,WR
28019,43,CB
28022,54,ILB
28024,97,DE
28027,20,CB
28027,24,CB
28029,50,ILB
28029,57,ILB
28031,23,FS
28037,50,OLB
28038,21,SS
28041,49,OLB
28041,49d,OLB
28041,93,OLB
28042,88,TE
28050,11,WR
28051,38,CB
28059,43,FS
28059,31,FS
28063,22,RB
28063,26,RB
28063,7,RB
28064,29,RB
28069,31,CB
28074,42,FB
28075,41,CB
28080,97,DT
28081,26,CB
28082,33,SS
28082,49,SS
